Employee ID,Name,Department,Job Role,Performance Score,KPI Score,Attendance (%),Peer Rating,Task Completion (%),Work Hours Logged,Manager Feedback,Training Hours,Promotion Eligibility,Promotion_Numeric,ProductivityIndex,WorkHourEfficiency,ManagerScoreRatio,PerformanceTier
376063,Manikya Badami,Sales,Sales Executive,61,91.03,94.4,4.5,78.19,42,3.7,18,No,0,86.887,1.8183720930232559,74.0,Exceeds Expectations
810690,Zara Mahal,Marketing,Marketing Executive,91,83.36,78.45,4.7,71.39,46,4.5,15,Yes,1,80.02999999999999,1.518936170212766,90.0,Exceeds Expectations
520956,Sana Gera,Finance,Accountant,100,65.39,99.5,4.4,80.2,51,3.5,7,No,0,79.0815,1.5423076923076924,70.0,Meets Expectations
202996,Zoya Wadhwa,Marketing,Content Strategist,100,82.9,79.83,4.3,71.51,43,5.0,9,Yes,1,78.918,1.6252272727272727,100.0,Meets Expectations
383410,Baiju Doctor,Sales,Sales Executive,80,90.9,89.92,3.7,78.03,51,3.1,29,No,0,83.7135,1.500576923076923,62.0,Exceeds Expectations
865548,Charvi Chakrabarti,HR,Employee Relations,53,72.43,82.52,5.0,70.93,35,4.7,4,No,0,77.554,1.970277777777778,94.0,Meets Expectations
302189,Anahi Kari,Sales,Business Development,59,76.14,79.21,4.9,93.45,49,3.2,16,No,0,85.938,1.869,64.0,Exceeds Expectations
907341,Kavya Kulkarni,IT,Cybersecurity Specialist,98,94.8,93.79,5.0,83.05,53,3.3,9,No,0,91.316,1.537962962962963,65.99999999999999,Exceeds Expectations
275552,Trisha Bir,Sales,Account Manager,83,80.59,76.16,4.5,97.62,37,3.7,23,No,0,87.2975,2.568947368421053,74.0,Exceeds Expectations
745670,Shray Kaul,HR,HR Manager,70,73.82,91.44,4.5,84.12,51,4.2,18,No,0,82.49499999999999,1.6176923076923078,84.00000000000001,Exceeds Expectations
374239,Jhanvi Ghosh,Sales,Business Development,75,60.73,90.2,3.4,91.53,35,4.8,3,No,0,77.021,2.5425,96.0,Meets Expectations
903729,Emir Chaudhry,HR,HR Manager,73,82.23,78.43,4.0,92.26,44,4.7,12,No,0,84.836,2.050222222222222,94.0,Exceeds Expectations
231366,Purab Tara,HR,HR Manager,100,92.09,90.13,3.5,86.27,40,3.2,1,No,0,86.4455,2.1041463414634145,64.0,Exceeds Expectations
888390,Kashvi Bains,Sales,Business Development,95,66.64,94.68,4.2,92.61,50,4.3,17,Yes,1,82.53949999999999,1.8158823529411765,86.0,Exceeds Expectations
378452,Mishti Shah,Finance,Auditor,60,67.86,75.87,4.1,78.95,38,3.4,5,No,0,75.064,2.0243589743589743,68.0,Meets Expectations
786662,Umang Savant,IT,Data Analyst,81,63.41,83.64,3.6,80.15,48,3.9,1,No,0,73.592,1.635714285714286,78.0,Meets Expectations
453442,Rhea Loyal,HR,Recruitment Specialist,94,62.67,78.64,4.3,73.62,45,3.2,15,No,0,72.3975,1.6004347826086958,64.0,Meets Expectations
247543,Indrajit Shah,IT,Cybersecurity Specialist,65,62.14,81.18,3.8,79.31,41,4.3,29,No,0,73.08449999999999,1.8883333333333334,86.0,Meets Expectations
760752,Madhup Chaudhari,Marketing,Marketing Executive,50,73.31,79.96,4.7,70.72,42,4.7,27,No,0,76.5045,1.6446511627906977,94.0,Meets Expectations
861299,Madhav Kara,HR,Recruitment Specialist,94,68.65,81.06,4.0,98.48,51,4.4,18,Yes,1,82.6545,1.893846153846154,88.00000000000001,Exceeds Expectations
276598,Pari Batta,IT,Cybersecurity Specialist,70,66.04,79.06,4.9,92.33,48,3.0,30,No,0,81.9885,1.8842857142857143,60.0,Exceeds Expectations
897782,Chirag Bassi,Finance,Auditor,74,74.74,86.4,4.7,75.16,40,4.3,13,No,0,79.52499999999998,1.833170731707317,86.0,Meets Expectations
514230,Jayant Dixit,Sales,Account Manager,75,63.95,80.49,4.1,82.45,42,3.2,4,No,0,75.61349999999999,1.9174418604651164,64.0,Meets Expectations
834049,Kismat Dora,Sales,Account Manager,83,64.87,79.25,3.4,84.48,54,3.7,6,No,0,74.36,1.536,74.0,Meets Expectations
181362,Lakshit Lanka,IT,Software Engineer,81,82.16,94.82,4.9,87.0,36,3.0,9,No,0,88.129,2.3513513513513513,60.0,Exceeds Expectations
